CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,41,100,57
2,Female,69,71,7
3,Female,28,43,65
4,Female,66,92,13
5,Male,25,106,99
6,Male,53,83,9
7,Male,55,61,69
8,Female,57,127,27
9,Female,37,108,61
10,Female,52,124,5
11,Male,65,76,29
12,Female,42,130,56
13,Female,52,83,38
14,Male,42,90,38
15,Male,46,30,8
16,Male,35,104,60
17,Male,63,104,22
18,Female,35,62,71
19,Male,19,99,76
20,Male,52,53,26
21,Female,33,114,84
22,Male,58,47,64
23,Male,53,108,4
24,Male,50,115,36
25,Female,21,37,6
26,Female,50,136,31
27,Male,31,24,19
28,Female,38,132,98
29,Female,65,83,27
30,Male,37,114,69
31,Female,25,48,45
32,Male,24,66,38
33,Male,20,109,98
34,Female,34,24,3
35,Female,50,136,13
36,Female,65,33,28
37,Male,29,72,39
38,Male,68,110,28
39,Female,39,15,8
40,Female,39,134,98
41,Male,63,83,1
42,Female,47,123,3
43,Male,55,18,13
44,Female,55,30,28
45,Male,62,38,25
46,Female,68,94,33
47,Male,25,133,97
48,Female,44,16,6
49,Female,44,127,63
50,Male,51,106,32
51,Female,38,46,64
52,Female,47,105,21
53,Female,50,98,16
54,Female,45,38,21
55,Female,64,26,11
56,Female,50,64,56
57,Male,22,49,55
58,Male,65,138,35
59,Male,36,47,38
60,Male,21,47,39
61,Male,52,75,18
62,Male,66,65,66
63,Female,34,57,60
64,Male,61,115,14
65,Male,45,26,15
66,Female,47,81,31
67,Male,46,79,1
68,Female,63,47,72
69,Male,23,54,73
70,Female,52,88,3
71,Female,58,57,35
72,Male,54,58,42
73,Male,41,43,30
74,Female,46,27,12
75,Female,66,26,10
76,Female,63,109,32
77,Female,48,60,35
78,Male,52,16,8
79,Male,50,139,38
80,Male,69,129,12
81,Female,38,128,83
82,Female,49,49,47
83,Male,40,101,72
84,Male,50,95,8
85,Male,20,104,87
86,Male,35,22,36
87,Female,42,107,45
88,Female,59,40,27
89,Female,48,88,28
90,Female,20,104,87
91,Male,57,48,56
92,Female,63,129,36
93,Female,41,119,46
94,Female,67,21,17
95,Female,49,82,9
96,Female,64,72,33
97,Female,39,131,79
98,Male,40,128,32
99,Male,19,123,87
100,Male,44,89,67
101,Male,59,43,48
102,Female,19,134,72
103,Male,43,50,65
104,Female,34,103,94
105,Female,57,35,6
106,Male,50,139,18
107,Male,26,135,64
108,Female,60,50,66
109,Male,65,24,25
110,Male,56,115,2
111,Male,46,87,10
112,Male,59,38,30
113,Female,43,78,69
114,Female,52,113,5
115,Female,67,63,74
116,Female,42,113,52
117,Female,41,126,73
118,Male,30,50,20
119,Female,24,96,77
120,Female,53,127,32
121,Female,62,117,11
122,Female,37,110,80
123,Male,18,38,26
124,Male,25,37,25
125,Male,63,76,22
126,Male,33,110,86
127,Female,31,51,68
128,Female,29,26,13
129,Male,68,127,33
130,Female,40,69,53
131,Male,32,27,41
132,Male,45,37,35
133,Male,51,103,1
134,Male,19,113,80
135,Female,49,119,6
136,Male,40,44,47
137,Female,39,31,17
138,Female,68,127,5
139,Male,42,76,50
140,Female,39,98,64
141,Female,39,126,97
142,Male,66,103,3
143,Female,69,100,23
144,Male,59,27,37
145,Male,23,73,72
146,Male,32,33,37
147,Female,60,63,29
148,Female,54,114,10
149,Male,50,26,19
150,Male,25,75,36
151,Female,61,119,21
152,Male,61,33,14
153,Male,22,90,68
154,Female,56,23,1
155,Female,21,85,72
156,Male,23,42,23
157,Female,62,92,1
158,Female,49,109,32
159,Male,69,66,53
160,Female,47,97,28
161,Male,64,136,31
162,Female,52,125,8
163,Female,57,30,39
164,Female,69,131,26
165,Male,33,83,93
166,Female,30,113,62
167,Male,67,26,12
168,Male,59,39,1
169,Male,47,66,73
170,Female,36,137,64
171,Female,34,99,89
172,Male,36,114,89
173,Female,45,67,36
174,Male,43,37,23
175,Female,54,30,15
176,Male,43,71,56
177,Female,40,53,40
178,Male,26,123,73
179,Female,29,67,21
180,Male,18,56,30
181,Male,18,72,70
182,Male,64,53,58
183,Female,51,28,38
184,Female,49,109,34
185,Male,65,136,38
186,Female,42,19,34
187,Female,57,49,37
188,Female,62,101,30
189,Female,18,107,74
190,Male,33,121,86
191,Male,56,89,34
192,Female,22,32,38
193,Female,39,125,92
194,Female,46,90,24
195,Male,20,23,15
196,Male,29,88,89
197,Female,43,72,74
198,Female,33,122,76
199,Female,68,31,5
200,Female,54,139,29
