CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Encoded,Cluster,Segment
1,Male,41,100,57,0,1,Premium Customers
2,Female,69,71,7,1,2,Careful Spenders
3,Female,28,43,65,1,3,Budget Customers
4,Female,66,92,13,1,2,Careful Spenders
5,Male,25,106,99,0,1,Premium Customers
6,Male,53,83,9,0,2,Careful Spenders
7,Male,55,61,69,0,4,Average Customers
8,Female,57,127,27,1,2,Careful Spenders
9,Female,37,108,61,1,1,Premium Customers
10,Female,52,124,5,1,2,Careful Spenders
11,Male,65,76,29,0,2,Careful Spenders
12,Female,42,130,56,1,1,Premium Customers
13,Female,52,83,38,1,4,Average Customers
14,Male,42,90,38,0,4,Average Customers
15,Male,46,30,8,0,0,Budget Customers
16,Male,35,104,60,0,1,Premium Customers
17,Male,63,104,22,0,2,Careful Spenders
18,Female,35,62,71,1,1,Premium Customers
19,Male,19,99,76,0,1,Premium Customers
20,Male,52,53,26,0,0,Budget Customers
21,Female,33,114,84,1,1,Premium Customers
22,Male,58,47,64,0,4,Average Customers
23,Male,53,108,4,0,2,Careful Spenders
24,Male,50,115,36,0,2,Careful Spenders
25,Female,21,37,6,1,3,Budget Customers
26,Female,50,136,31,1,2,Careful Spenders
27,Male,31,24,19,0,3,Budget Customers
28,Female,38,132,98,1,1,Premium Customers
29,Female,65,83,27,1,2,Careful Spenders
30,Male,37,114,69,0,1,Premium Customers
31,Female,25,48,45,1,3,Budget Customers
32,Male,24,66,38,0,3,Budget Customers
33,Male,20,109,98,0,1,Premium Customers
34,Female,34,24,3,1,3,Budget Customers
35,Female,50,136,13,1,2,Careful Spenders
36,Female,65,33,28,1,0,Budget Customers
37,Male,29,72,39,0,3,Budget Customers
38,Male,68,110,28,0,2,Careful Spenders
39,Female,39,15,8,1,0,Budget Customers
40,Female,39,134,98,1,1,Premium Customers
41,Male,63,83,1,0,2,Careful Spenders
42,Female,47,123,3,1,2,Careful Spenders
43,Male,55,18,13,0,0,Budget Customers
44,Female,55,30,28,1,0,Budget Customers
45,Male,62,38,25,0,0,Budget Customers
46,Female,68,94,33,1,2,Careful Spenders
47,Male,25,133,97,0,1,Premium Customers
48,Female,44,16,6,1,0,Budget Customers
49,Female,44,127,63,1,1,Premium Customers
50,Male,51,106,32,0,2,Careful Spenders
51,Female,38,46,64,1,4,Average Customers
52,Female,47,105,21,1,2,Careful Spenders
53,Female,50,98,16,1,2,Careful Spenders
54,Female,45,38,21,1,0,Budget Customers
55,Female,64,26,11,1,0,Budget Customers
56,Female,50,64,56,1,4,Average Customers
57,Male,22,49,55,0,3,Budget Customers
58,Male,65,138,35,0,2,Careful Spenders
59,Male,36,47,38,0,3,Budget Customers
60,Male,21,47,39,0,3,Budget Customers
61,Male,52,75,18,0,2,Careful Spenders
62,Male,66,65,66,0,4,Average Customers
63,Female,34,57,60,1,3,Budget Customers
64,Male,61,115,14,0,2,Careful Spenders
65,Male,45,26,15,0,0,Budget Customers
66,Female,47,81,31,1,4,Average Customers
67,Male,46,79,1,0,2,Careful Spenders
68,Female,63,47,72,1,4,Average Customers
69,Male,23,54,73,0,3,Budget Customers
70,Female,52,88,3,1,2,Careful Spenders
71,Female,58,57,35,1,4,Average Customers
72,Male,54,58,42,0,4,Average Customers
73,Male,41,43,30,0,3,Budget Customers
74,Female,46,27,12,1,0,Budget Customers
75,Female,66,26,10,1,0,Budget Customers
76,Female,63,109,32,1,2,Careful Spenders
77,Female,48,60,35,1,4,Average Customers
78,Male,52,16,8,0,0,Budget Customers
79,Male,50,139,38,0,2,Careful Spenders
80,Male,69,129,12,0,2,Careful Spenders
81,Female,38,128,83,1,1,Premium Customers
82,Female,49,49,47,1,4,Average Customers
83,Male,40,101,72,0,1,Premium Customers
84,Male,50,95,8,0,2,Careful Spenders
85,Male,20,104,87,0,1,Premium Customers
86,Male,35,22,36,0,3,Budget Customers
87,Female,42,107,45,1,2,Careful Spenders
88,Female,59,40,27,1,0,Budget Customers
89,Female,48,88,28,1,2,Careful Spenders
90,Female,20,104,87,1,1,Premium Customers
91,Male,57,48,56,0,4,Average Customers
92,Female,63,129,36,1,2,Careful Spenders
93,Female,41,119,46,1,1,Premium Customers
94,Female,67,21,17,1,0,Budget Customers
95,Female,49,82,9,1,2,Careful Spenders
96,Female,64,72,33,1,4,Average Customers
97,Female,39,131,79,1,1,Premium Customers
98,Male,40,128,32,0,2,Careful Spenders
99,Male,19,123,87,0,1,Premium Customers
100,Male,44,89,67,0,4,Average Customers
101,Male,59,43,48,0,4,Average Customers
102,Female,19,134,72,1,1,Premium Customers
103,Male,43,50,65,0,4,Average Customers
104,Female,34,103,94,1,1,Premium Customers
105,Female,57,35,6,1,0,Budget Customers
106,Male,50,139,18,0,2,Careful Spenders
107,Male,26,135,64,0,1,Premium Customers
108,Female,60,50,66,1,4,Average Customers
109,Male,65,24,25,0,0,Budget Customers
110,Male,56,115,2,0,2,Careful Spenders
111,Male,46,87,10,0,2,Careful Spenders
